SURVEY_ID,SURVEY_SPECIES_ID,SPECIES_ID,SPECIES_RUN_ID,RUN_NUMBER,LW_MEASURED_TOTAL,BANDED_MEASURED_TOTAL,BULK_MEASURED_TOTAL,FISH_COUNT
118790,451503,152,591769,2,0,1,,1
118790,451504,153,591770,1,0,2,,2
118790,451504,153,591771,2,0,1,,1
118790,451505,213,591772,1,0,2,,2
118790,451505,213,591773,2,0,,,0
118790,451506,211,591774,1,0,1,,1
118790,451506,211,591775,2,0,,,0
118790,451507,199,591776,1,0,1,,1
118790,451507,199,591777,2,0,,,0
118790,451508,194,591778,1,0,310,,310
118790,451508,194,591779,2,0,65,,65
77071,249631,194,272344,1,0,93,,93
77071,249631,194,272345,2,0,13,,13
77071,249632,211,272346,1,1,7,,8
77071,249632,211,272347,2,0,4,,4
77071,249633,181,272348,1,0,24,,24
77071,249633,181,272349,2,4,,,4
77071,249634,199,272350,1,0,1,,1
77071,249634,199,272351,2,0,,,0
77071,249635,153,272352,1,0,2,,2
77071,249635,153,272353,2,0,,,0
77071,249636,213,272354,1,2,,,2
77071,249636,213,272355,2,2,,,2
77071,249637,182,272356,1,1,,,1
77071,249637,182,272357,2,0,,,0
77071,249638,403,272358,1,3,,,3
77071,249638,403,272359,2,0,,,0
77071,249639,478,272360,1,1,,,1
77071,249639,478,272361,2,0,1,,1
29391,99747,213,95886,1,7,,,7
29391,99747,213,95887,2,1,,,1
29391,99748,403,95888,1,1,,,1
29391,99748,403,95889,2,2,,,2
29391,99746,211,95884,1,29,,,29
29391,99746,211,95885,2,23,,,23
29391,99745,199,95883,1,1,,,1
29391,99745,199,103801,2,0,,,0
29391,99744,194,95882,1,3,,,3
29391,99744,194,103800,2,0,,,0
30809,95607,194,89143,1,533,,1970,2503
30809,95607,194,89144,2,167,,,167
30809,95605,182,89140,1,1,,,1
30809,95605,182,106968,2,0,,,0
30809,95608,199,89145,1,1,,,1
30809,95608,199,106969,2,0,,,0
30809,95606,193,89141,1,8,,,8
30809,95606,193,89142,2,3,,,3
30809,95611,403,89150,1,30,,,30
30809,95611,403,89151,2,3,,,3
30809,95612,478,89152,1,3,,,3
30809,95612,478,89153,2,2,,,2
30809,95603,153,89138,1,2,,,2
30809,95603,153,106966,2,0,,,0
30809,95604,181,89139,1,4,,,4
30809,95604,181,106967,2,0,,,0
30809,95610,213,89148,1,5,,,5
30809,95610,213,89149,2,5,,,5
30809,95609,211,89146,1,10,,,10
30809,95609,211,89147,2,4,,,4
114143,429957,181,555022,1,0,85,,85
114143,429957,181,555023,2,0,7,,7
114143,429958,283,555024,1,0,1,,1
114143,429958,283,555025,2,0,,,0
114143,429959,152,555026,1,0,2,,2
114143,429959,152,555027,2,0,,,0
114143,429960,182,555028,1,0,9,,9
114143,429960,182,555029,2,0,5,,5
114143,429961,193,555030,1,0,5,,5
114143,429961,193,555031,2,0,1,,1
114143,429962,211,555032,1,0,13,,13
114143,429962,211,555033,2,0,5,,5
114143,429963,213,555034,1,0,10,,10
114143,429963,213,555035,2,0,3,,3
114143,429964,196,555036,1,0,1,,1
114143,429964,196,555037,2,0,,,0
114143,429965,199,555038,1,0,11,,11
114143,429965,199,555039,2,0,7,,7
114143,429966,194,555040,1,0,958,,958
114143,429966,194,555041,2,0,373,,373
114143,429967,403,555042,1,0,1,,1
114143,429967,403,555043,2,0,,,0
29387,99700,182,95803,1,187,,580,767
29387,99700,182,103786,2,0,,,0
29387,99705,199,95811,1,69,,226,295
29387,99705,199,95812,2,36,,,36
29387,99708,213,95816,1,7,,,7
29387,99708,213,95817,2,2,,,2
29387,99707,211,95814,1,57,,,57
29387,99707,211,95815,2,49,,,49
29387,99710,478,95820,1,2,,,2
29387,99710,478,95821,2,3,,,3
29387,99704,198,103787,1,0,,,0
29387,99704,198,95810,2,1,,,1
29387,99703,196,95808,1,4,,,4
29387,99703,196,95809,2,2,,,2
29387,99706,201,95813,1,1,,,1
29387,99706,201,103788,2,0,,,0
29387,99698,152,95799,1,12,,,12
29387,99698,152,95800,2,4,,,4
29387,99701,193,95804,1,16,,,16
29387,99701,193,95805,2,4,,,4
29387,99702,194,95806,1,369,,,369
29387,99702,194,95807,2,98,,,98
29387,99699,153,95801,1,33,,,33
29387,99699,153,95802,2,3,,,3
29387,99709,403,95818,1,65,,,65
29387,99709,403,95819,2,6,,,6
127497,498565,194,666140,1,657,,537,1194
127497,498565,194,666141,2,120,,,120
